Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Returns,Log_Returns,Volatility,Volume_MA,Volume_Ratio,SMA_20,SMA_50,RSI
2023-01-03 00:00:00-05:00,125.88991584856704,127.1769130727521,119.02285357540461,120.50711822509766,6321700,0.0,0.0,0.0,,,,,,,,
2023-01-04 00:00:00-05:00,118.33708980157265,122.22623384224735,117.82980920925344,120.92984771728516,5151500,0.0,0.0,0.0,0.003507921344512388,0.0035017829396051855,,,,,,
2023-01-05 00:00:00-05:00,120.37561632402438,122.15109503843539,119.10741826617463,121.10835266113281,4576400,0.0,0.0,0.0,0.001476103271584206,0.0014750149020489273,,,,,,
2023-01-06 00:00:00-05:00,122.88382367745862,124.94112723900349,122.24503381710994,123.58837890625,2849100,0.0,0.0,0.0,0.020477747328100593,0.020270897374063276,,,,,,
2023-01-09 00:00:00-05:00,126.60386083572759,127.75932720792622,124.50897331161313,124.84716033935547,3898700,0.0,0.0,0.0,0.01018527343950626,0.010133753079299115,,,,,,
2023-01-10 00:00:00-05:00,124.95052631752779,125.68326266836769,122.40474124413159,125.26993560791016,3037900,0.0,0.0,0.0,0.0033863426881757253,0.0033806219410769506,,,,,,
2023-01-11 00:00:00-05:00,127.05479303557027,127.08297409800934,124.45263170806439,126.24690246582031,2251000,0.0,0.0,0.0,0.007798893271311558,0.007768639100740773,,,,,,
2023-01-12 00:00:00-05:00,127.45873074483343,131.04727224884397,127.12994690602709,129.97634887695312,4252000,0.0,0.0,0.0,0.02954089437673546,0.029112969257967677,,,,,,
2023-01-13 00:00:00-05:00,129.82603776197453,131.0190886033297,127.97540492175872,130.662109375,2409100,0.0,0.0,0.0,0.005276040633331425,0.005262171093730022,,,,,,
2023-01-17 00:00:00-05:00,131.94912032116278,133.01064053855583,130.43667439991785,131.28213500976562,3264400,0.0,0.0,0.0,0.0047452596451367235,0.004734036391417601,,,,,,
2023-01-18 00:00:00-05:00,132.11819313440242,134.57943476129373,128.62359812679435,128.71754455566406,4736300,0.0,0.0,0.0,-0.019534953890800066,-0.01972828302839934,,,,,,
2023-01-19 00:00:00-05:00,127.9566217451593,131.78000042185212,127.65600465300427,131.2257537841797,3472600,0.0,0.0,0.0,0.019486148816573623,0.01929872468855716,,,,,,
2023-01-20 00:00:00-05:00,131.9866975015536,133.33004277363744,130.2487886335056,133.11398315429688,5665600,0.0,0.0,0.0,0.014389167641762235,0.014286626057217058,,,,,,
2023-01-23 00:00:00-05:00,134.4197570401208,136.22341693244246,133.5930885483575,135.03038024902344,4409200,0.0,0.0,0.0,0.014396662539240435,0.014294014611855735,,,,,,86.95027146010013
2023-01-24 00:00:00-05:00,134.91760946388686,134.91760946388686,132.8039440160775,133.5742645263672,5583400,0.0,0.0,0.0,-0.010783615657238621,-0.010842180246446783,,,,,,80.95224670469696
2023-01-25 00:00:00-05:00,132.57850022539822,133.48032282116117,130.3333183104517,133.433349609375,2958800,0.0,0.0,0.0,-0.001054955589625317,-0.0010555124469476375,,,,,,80.01789872749059
2023-01-26 00:00:00-05:00,134.76732340693707,136.73068043472253,132.71940886212667,136.63673400878906,4480300,0.0,0.0,0.0,0.024007374534117165,0.023723728284857765,,,,,,82.55204268331691
2023-01-27 00:00:00-05:00,136.7494939779347,137.86737634982117,134.62642482711664,134.7767333984375,3201200,0.0,0.0,0.0,-0.013612742018789148,-0.01370624491493909,,,,,,74.08003646619456
2023-01-30 00:00:00-05:00,133.00123091924817,133.5085043393283,130.33331875749852,130.41786193847656,5423800,0.0,0.0,0.0,-0.03234142385002681,-0.03287596451144062,,,,,,60.57794246710053
2023-01-31 00:00:00-05:00,130.37087370781381,132.72877960013489,129.56298329170934,132.4281768798828,2918100,0.0,0.0,0.0,0.015414414187794323,0.015296819006325745,,4043055.0,0.7217561967373681,129.18865356445312,,62.8195546354363
2023-02-01 00:00:00-05:00,131.62971720332285,131.98669648539217,126.06842893628611,129.35635375976562,6403100,0.0,0.0,0.0,-0.023196144449707634,-0.023469409069873066,0.016445467002900026,4047125.0,1.582135466534886,129.63111534118653,,55.17998701577984
2023-02-02 00:00:00-05:00,129.3938997209108,129.92935415110236,125.62686922286929,127.34598541259766,6493700,0.0,0.0,0.0,-0.015541318912726365,-0.015663351222729723,0.016998192359515513,4114235.0,1.5783493164585882,129.95192222595216,,45.351894459569614
2023-02-03 00:00:00-05:00,127.62782055764495,130.79361718773694,126.58507833712099,126.77295684814453,6489300,0.0,0.0,0.0,-0.004499777221845913,-0.0045099316927236805,0.0170736693186235,4209880.0,1.541445361863046,130.23515243530272,,43.10000224694341
2023-02-06 00:00:00-05:00,126.68841241324785,127.85328210479229,123.02473131484336,124.2459487915039,4498100,0.0,0.0,0.0,-0.019933336884045527,-0.020134686043310132,0.017215649271416777,4292330.0,1.047938998166497,130.26803092956544,,38.307809685893936
2023-02-07 00:00:00-05:00,125.20414560643468,129.44086540002624,124.06747132888603,129.26239013671875,4795700,0.0,0.0,0.0,0.04037508984403915,0.03958131144147914,0.019313876869007925,4337180.0,1.105718462226608,130.4887924194336,,50.837165094105174
