signal_direction,signal_strength,position_size,current_price,stop_loss,take_profit,sentiment_score,sentiment_std,reliability_score,source_diversity,price_volatility,impact_likely,num_articles,avg_reliability,signal_quality
-1,0.9215866666666667,1.0,124.84718322753906,129.84107055664063,117.35635223388672,-1.0,,0.89,1.0,0,0.2,1,0.89,0.9999999999999999
-1,0.6498228061714064,0.6152744045850913,125.26991271972656,130.28070922851563,117.75371795654297,-0.3886077379184246,,0.89,1.0,0,0.2,1,0.89,0.9999999999999999
-1,0.6562724186948724,0.6763218501579038,136.63673400878906,142.10220336914062,128.43852996826172,-0.4313218501579038,,0.85,1.0,0,0.35,1,0.85,0.9999999999999999
1,0.660773833523106,0.6458165729335732,134.7767333984375,129.3856640625,142.86333740234375,0.4458165729335731,,0.85,1.0,0,0.2,1,0.85,0.9999999999999999
-1,0.7125237347125403,0.7968287995032775,124.24595642089844,129.21579467773438,116.79119903564452,-0.5251621328366108,,0.89,1.0,0,0.35,1,0.89,0.9999999999999999
-1,0.91768,1.0,129.26239013671875,134.4328857421875,121.50664672851562,-1.0,,0.88,1.0,0,0.2,1,0.88,0.9999999999999999
-1,0.9255000000000001,1.0,132.2685089111328,137.55924926757814,124.33239837646484,-1.0,,0.9,1.0,0,0.2,1,0.9,0.9999999999999999
-1,0.6844360556603718,0.7336394203082981,131.34786987304688,136.60178466796876,123.46699768066406,-0.46197275364163143,,0.89,1.0,0,0.35,1,0.89,0.9999999999999999
1,0.9118216666666668,1.0,126.06842041015625,121.02568359375,133.6325256347656,1.0,,0.86,1.0,0,0.35,1,0.86,0.9999999999999999
1,0.9135624999999999,1.0,126.791748046875,121.720078125,134.3992529296875,1.0,0.0,0.865,1.0,0,0.2,2,0.865,0.9999999999999999
1,0.6703984532931064,0.660071430621213,132.587890625,127.284375,140.5431640625,0.4267380972878795,,0.9,1.0,0,0.2,1,0.9,0.9999999999999999
1,0.9215866666666667,1.0,122.77108764648438,117.860244140625,130.13735290527345,1.0,,0.89,1.0,0,0.2,1,0.89,0.9999999999999999
1,0.6787548902093012,0.7192993787474933,116.61797332763672,111.95325439453126,123.61505172729493,0.44096604541415996,,0.9,1.0,0,0.35,1,0.9,0.9999999999999999
1,0.7651121973627364,0.8729113049349879,113.89657592773438,109.340712890625,120.73037048339843,0.6395779716016544,,0.9,1.0,0,0.2,1,0.9,0.9999999999999999
1,0.6580589828875731,0.6323422836424863,127.30728912353516,122.21499755859375,134.94572647094728,0.39900895030915295,,0.9,1.0,0,0.2,1,0.9,0.9999999999999999
-1,0.6789793844964934,0.6793544220894983,121.2459487915039,126.09578674316407,113.97119186401368,-0.44602108875616475,,0.9,1.0,0,0.2,1,0.9,0.9999999999999999
1,0.8560800000000001,1.0,120.19468688964844,115.3868994140625,127.40636810302735,1.0,,0.72,1.0,0,0.2,1,0.72,0.9999999999999999
-1,0.9275250000000002,1.0,118.40469360351562,123.14088134765625,111.30041198730468,-1.0,,0.9,1.0,0,0.35,1,0.9,0.9999999999999999
1,0.6578976717929227,0.6363720521448837,120.38410186767578,115.56873779296875,127.60714797973633,0.4230387188115503,,0.87,1.0,0,0.2,1,0.87,0.9999999999999999
1,0.6999959855409799,0.72972068815536,114.0291519165039,109.46798583984375,120.87090103149414,0.5097206881553599,,0.88,1.0,0,0.2,1,0.88,0.9999999999999999
1,0.9275250000000002,1.0,111.80350494384766,107.33136474609375,118.51171524047851,1.0,,0.9,1.0,0,0.35,1,0.9,0.9999999999999999
1,0.91768,1.0,111.68038177490234,107.21316650390625,118.38120468139648,1.0,,0.88,1.0,0,0.2,1,0.88,0.9999999999999999
-1,0.9255000000000001,1.0,112.72216796875,117.2310546875,105.958837890625,-1.0,,0.9,1.0,0,0.2,1,0.9,0.9999999999999999
-1,0.6496563782397403,0.6613703463044979,111.5761947631836,116.03924255371093,104.88162307739258,-0.4163703463044978,,0.85,1.0,0,0.35,1,0.85,0.9999999999999999
1,0.8751466666666666,1.0,116.52944946289062,111.868271484375,123.52121643066407,1.0,,0.77,1.0,0,0.2,1,0.77,0.9999999999999999
-1,0.6226764069847659,0.6321540697855088,116.26427459716797,120.91484558105469,109.28841812133788,-0.32715406978550865,0.06432032567306323,0.88,1.0,0,0.35,2,0.88,0.9999999999999999
1,0.91378,1.0,119.76849365234375,114.97775390625,126.95460327148437,1.0,,0.87,1.0,0,0.2,1,0.87,0.9999999999999999
-1,0.849286971124951,1.0,120.45986938476562,125.27826416015625,113.23227722167968,-0.8588381590480456,,0.86,1.0,0,0.35,1,0.86,0.9999999999999999
1,0.91768,1.0,120.98076629638672,116.14153564453125,128.23961227416993,1.0,,0.88,1.0,0,0.2,1,0.88,0.9999999999999999
-1,0.6582100181573164,0.6341432729448435,119.24767303466797,124.01757995605469,112.0928126525879,-0.40747660627817694,,0.89,1.0,0,0.2,1,0.89,0.9999999999999999
1,0.9215866666666667,1.0,115.9969253540039,111.35704833984374,122.95674087524414,1.0,,0.89,1.0,0,0.2,1,0.89,0.9999999999999999
1,0.906,1.0,122.98458862304688,118.065205078125,130.3636639404297,1.0,,0.85,1.0,0,0.2,1,0.85,0.9999999999999999
