Price,Close,High,Low,Open,Volume
Ticker,XOP,XOP,XOP,XOP,XOP
Date,,,,,
2010-01-04,136.05889892578125,136.09044458321466,132.14807958406178,132.14807958406178,736850
2010-01-05,137.19430541992188,137.82508624187435,135.58582575352938,136.3112194878745,1503350
2010-01-06,138.7396697998047,139.2127462291301,136.34270591245445,137.06809939566486,920850
2010-01-07,137.91969299316406,138.32970231378889,136.05889626865806,138.32970231378889,593350
2010-01-08,138.9920196533203,139.0235653108004,136.21659132108957,137.41507365132563,557000
2010-01-11,137.4466094970703,140.7266478034023,136.12196869376086,140.3481841586606,722175
2010-01-12,134.1980743408203,135.6804071231264,133.63037293615588,135.6173278524814,642175
2010-01-13,135.5542449951172,135.74348280204507,131.70649380556637,134.4188422158307,918100
2010-01-14,136.81581115722656,137.2888876445881,135.27039909044095,136.02733831381653,992350
2010-01-15,135.61732482910156,136.8473405014063,134.86038562937688,136.8473405014063,587575
2010-01-19,136.62655639648438,136.81579418664046,134.76576023560364,135.61731224459712,578200
2010-01-20,135.33348083496094,135.49117300029673,133.81961439168367,135.33348083496094,345975
2010-01-21,133.40960693359375,136.65812333273706,133.06267694649816,135.27040338435467,753200
2010-01-22,130.6026611328125,133.97732445254863,130.12957254247308,133.22039714537672,1327000
2010-01-25,131.76962280273438,133.2834897360505,131.17038756802953,131.48577200079106,823800
2010-01-26,129.84571838378906,131.86421922255954,129.15187037563084,131.0757462801334,743600
2010-01-27,128.83642578125,130.91799308927855,126.75485847322145,129.81413619530045,1346100
2010-01-28,127.54338073730469,130.03495815999472,125.49335827511642,129.27803086141958,1154000
2010-01-29,124.45256805419922,130.03495800697743,124.26334224534935,128.17416135605134,1421550
2010-02-01,129.78265380859375,129.84572105788143,125.9979812007768,126.28183194714164,756700
2010-02-02,132.33731079101562,132.87347870892015,128.8680342629979,130.3503674129851,622250
2010-02-03,130.16110229492188,132.46344162223812,130.00341012779032,132.0534323627831,807300
2010-02-04,124.35792541503906,129.12029562028127,124.35792541503906,129.05721635536645,1155375
2010-02-05,124.51563262939453,125.0518004304823,120.35249689035254,124.61024552264605,1716875
2010-02-08,123.69564819335938,126.12414647912647,123.06486738660348,124.2948833426487,935400
2010-02-09,126.25029754638672,127.89032289035137,124.76797643312807,125.74567528910096,1228550
2010-02-10,125.93487548828125,126.69180263229009,123.38021930718628,126.06103402266272,1387500
2010-02-11,128.20565795898438,128.4264293389351,125.30407234498686,125.61946862430065,953050
2010-02-12,128.67874145507812,128.77336635967976,125.49331706005557,126.407948273994,794825
2010-02-16,132.6211395263672,132.74729807798636,130.4134129975986,130.4134129975986,821975
2010-02-17,132.02183532714844,133.47262181772174,130.94951226213004,133.0310791493851,939725
2010-02-18,132.65269470214844,132.90499979235648,131.32805387734297,131.67498390362874,883325
2010-02-19,133.37806701660156,133.66191771708628,131.83265497370905,132.4003563746785,887500
2010-02-22,130.5395965576172,134.13503174957458,130.1611328613964,134.04041883330538,766475
2010-02-23,127.32264709472656,130.28731398305837,127.19650052825297,130.22423468424856,883525
2010-02-24,128.5841522216797,129.21493290005864,127.22797797406419,127.63798721968162,842750
2010-02-25,128.83642578125,129.21490131444634,125.68253519144082,126.4079406144982,1129300
2010-02-26,129.4041748046875,130.25572702192582,128.4895553397802,129.24648262323055,749700
2010-03-01,131.29647827148438,131.5487832810194,130.28723417106687,130.28723417106687,814250
2010-03-02,132.43191528320312,133.5357725449623,131.76958889500582,131.95882672465387,700800
2010-03-03,133.47267150878906,134.29268993910387,132.77881161100575,132.77881161100575,600525
2010-03-04,132.36883544921875,134.07192778431195,131.61189616495597,133.59885125889676,848125
2010-03-05,134.9550018310547,135.30193177388685,133.72498623820584,133.72498623820584,752700
2010-03-08,134.32423400878906,135.77502115237115,133.91422476172778,135.58579536998963,563125
2010-03-09,135.08120727539062,135.93274757299736,133.75656630917516,133.91425851128218,1294250
2010-03-10,137.25738525390625,137.63584893613321,134.95504547104827,134.95504547104827,1198600
2010-03-11,137.4780731201172,138.235012055325,136.8472926793,137.19422252330628,820175
2010-03-12,137.79351806640625,138.58199095721432,136.9104322786665,138.171993716416,1049575
2010-03-15,136.24815368652344,137.63586200724026,134.26119811163196,137.57278271568796,1062900
2010-03-16,137.25738525390625,137.41507745223888,135.7119728355022,136.72121734220315,1013925
2010-03-17,137.79351806640625,138.6766158852875,137.38352082560795,137.63582589447293,771150
2010-03-18,133.8826904296875,138.01428040492192,133.47268118480673,137.91966751423433,1596575
2010-03-19,132.13746643066406,134.50439029861593,129.95990080611537,132.13746643066406,1656825
2010-03-22,131.44322204589844,131.8850460599604,129.32876307157153,130.02306483012686,1290550
2010-03-23,133.4629669189453,133.4629669189453,131.6009860926905,131.63253978451226,1179725
2010-03-24,133.2420654296875,134.15726703001985,131.88502783753978,132.61088319446534,1001650
2010-03-25,129.29722595214844,134.78848517218427,129.1078676194978,134.4413342483929,1909925
2010-03-26,128.350341796875,130.14921439501452,127.27734823546223,129.9282905007783,1834450
2010-03-29,131.75875854492188,132.1059092960382,129.17092281325114,129.3918347387257,1006425
2010-03-30,131.9165496826172,132.32681984227813,130.78042434127724,132.32681984227813,871425
2010-03-31,132.95806884765625,133.90483642904917,131.56946515873054,132.20064755926015,1567375
2010-04-01,136.74508666992188,136.90287918587728,134.1256851576325,134.78842094792356,1065325
2010-04-05,139.8063507080078,140.09038215525783,136.96604827430932,137.6287843049588,1057975
2010-04-06,139.42759704589844,140.68996126461155,139.23823880145224,139.36447763108305,733500
2010-04-07,138.16526794433594,139.64854447250525,137.31317368594935,139.64854447250525,1876450
2010-04-08,138.16526794433594,138.67021135240202,135.64055090400555,137.66032453626985,1205050
2010-04-09,140.59530639648438,141.2896080701559,139.55386592477709,139.77477790479983,1527150
2010-04-12,140.18499755859375,141.63671993489416,139.80629313115728,141.06865727434112,1185250
2010-04-13,139.77479553222656,140.72156300012384,138.16528000187984,140.4375315558745,1853450
2010-04-14,141.037109375,141.22646763204943,139.17512864980765,140.72152431871584,1036800
2010-04-15,141.037109375,141.88920347352513,140.5321660616664,141.41582588909887,1014975
2010-04-16,137.9442901611328,140.3743329155306,136.7450576632181,140.3743329155306,1930750
2010-04-19,137.02908325195312,137.62871156746402,135.16711501813165,136.74506399361042,1533675
2010-04-20,139.9009552001953,140.21654016455918,137.81805109573293,137.81805109573293,1143750
2010-04-21,139.39599609375,140.2165362402024,138.03897115392985,140.15341684133728,1146275
2010-04-22,140.56370544433594,140.72149794290254,136.9344177833241,137.78651172213895,753050
2010-04-23,144.6348876953125,144.6348876953125,139.90103818898407,140.3744159163358,1721125
2010-04-26,144.06675720214844,145.01352425147547,143.7196064750094,144.91883911938544,858125
2010-04-27,139.30137634277344,144.2877024128557,138.98579126642855,143.43560826016574,2224500
2010-04-28,140.3428497314453,141.16337827580648,138.63866117146355,140.1534914340693,1893775
2010-04-29,141.16329956054688,142.89904084947622,139.39599255358945,141.7944814943741,1530675
2010-04-30,141.0055694580078,142.93066979025625,139.30138109449615,141.06868888318965,1603200
2010-05-03,144.00367736816406,144.95044467767767,140.59530060735568,141.28960225243875,841900
2010-05-04,140.21653747558594,142.2994295013094,138.5439155267034,141.82604002504723,1955800
2010-05-05,137.1553192138672,140.0587515286868,135.0724270909989,137.02908040913698,1917275
2010-05-06,132.35842895507812,140.69001426755452,124.75271116704023,136.58733503051008,3085950
2010-05-07,127.87701416015625,133.08423968565776,125.51009018343795,132.3583844441199,3437100
2010-05-10,134.5360107421875,134.91471534421893,132.38999793267234,133.55767747823722,2410725
2010-05-11,133.6207275390625,136.39792126917453,132.35836346933996,132.9264260968355,2451950
2010-05-12,137.72341918945312,137.9758968674634,134.12569654939472,134.12569654939472,1452325
2010-05-13,137.0606689453125,139.1751151019439,135.95610931704195,137.25002718392906,2109325
2010-05-14,134.12570190429688,136.0192364097792,131.88501659708973,135.9561290265554,1742000
2010-05-17,131.3800811767578,135.23026984175993,128.66600606022877,134.47286080944457,1596500
2010-05-18,130.7173614501953,135.04095276186735,129.86527911455406,132.89493997559566,1442625
2010-05-19,128.9500732421875,130.81205468498356,125.57326127557813,129.23410471782768,1834450
2010-05-20,122.13330078125,125.6994702286526,121.7545962501807,124.34243261695427,1638025
2010-05-21,124.59489440917969,125.41543491286282,118.40933509298202,118.40933509298202,1748525
2010-05-24,121.72301483154297,125.00515244801127,121.502102880319,124.65800165643118,866500
2010-05-25,122.22798156738281,122.22798156738281,116.83139651580713,118.56713876739688,1736525
2010-05-26,123.20633697509766,125.69950082567496,122.5436008747071,123.8690730754882,1657850
2010-05-27,129.7705841064453,129.8337035411196,125.92039490172318,126.26753373422999,1569400
2010-05-28,129.29722595214844,131.60103149145118,128.31889262499124,129.89684261400433,2098000
2010-06-01,124.43708038330078,130.11769534699332,124.12149534485023,126.80400428807246,1467550
2010-06-02,131.5063018798828,131.53786761072914,124.91048471127719,125.06827724911196,1623275
2010-06-03,134.91465759277344,135.38804717177567,130.2123636451008,132.51618008819483,1993425
2010-06-04,128.9816131591797,136.08238725246568,127.94017255234121,132.07439331959918,1870775
2010-06-07,127.62458038330078,131.75881335178047,127.3721146657978,129.39188856102993,1307475
2010-06-08,129.04470825195312,129.6758904600464,126.04660179260968,127.94014841688943,1458150
2010-06-09,128.1610565185547,133.08425110783963,127.34051606114124,131.2538360022539,1074925
2010-06-10,134.59909057617188,134.59909057617188,130.62265128911233,130.62265128911233,1151075
2010-06-11,135.70362854003906,135.70362854003906,132.2636988699141,133.2420316887045,908450
2010-06-14,135.51426696777344,139.33291301234738,135.4511475579098,137.09221609797535,941850
2010-06-15,139.3329620361328,139.68010085432772,136.77667921182038,136.99759120467198,1219475
2010-06-16,139.58541870117188,140.84778318339616,137.8812302618091,138.57553193091243,1145775
2010-06-17,138.4807891845703,140.09029165333945,136.8712746770073,139.96405286082592,1245675
2010-06-18,139.00218200683594,139.06536856998633,136.82187190713296,138.3702078901988,1493150
2010-06-21,137.4854736328125,141.9408747893717,136.53751824812247,141.21410859264577,1594175
2010-06-22,132.4297332763672,137.6435071435421,132.08214674470094,137.6435071435421,1351500
2010-06-23,132.05052185058594,133.21966640596185,131.00776250510268,132.49290021997646,1157600
2010-06-24,129.5226593017578,132.8405097013674,128.76428764137717,131.89255416632304,984300
2010-06-25,131.26060485839844,132.30335252990741,128.4167256562632,129.933457212765,1277125
2010-06-28,129.30145263671875,132.36652039108364,129.17506741017905,132.36652039108364,1057450
2010-06-29,123.99288177490234,126.9947384072009,123.07651970315128,126.20477359787888,1431025
2010-06-30,123.20288848876953,125.88876339809535,122.88689540573475,124.15084363006667,1016500
2010-07-01,121.71776580810547,124.05605463495944,118.74750279289191,122.76051297307951,1767425
2010-07-02,120.7066421508789,123.45571669656695,119.72708131096334,122.09697607025845,1295275
2010-07-06,120.73823547363281,124.68806007342903,119.6006840602662,123.04493159344483,1607075
2010-07-07,125.66761779785156,125.73081643635035,120.80143111861423,121.65459465748633,1017350
2010-07-08,127.753173828125,128.163959109535,124.90929427053652,127.34238854671501,1005625
2010-07-09,127.87948608398438,128.41665627978915,126.74193501768671,127.43710779240293,553850
2010-07-12,127.12117767333984,128.7011078140285,125.95203274432515,127.46876423291701,681550
2010-07-13,129.01705932617188,129.5542296143073,128.22709451145047,128.66947287906942,564525
2010-07-14,128.5114288330078,129.6805850606002,126.99469832429877,128.44824227564303,797350
2010-07-15,128.5114288330078,128.98541239056178,125.95195137314369,128.44824227564303,1006475
2010-07-16,124.11927795410156,127.59513065468654,123.58210762215815,127.59513065468654,1012125
2010-07-19,123.99288177490234,124.97243042396155,122.47613873356646,124.94083713530749,625925
2010-07-20,127.24754333496094,127.72151502695905,121.68618387248709,122.31815818239194,1125700
